	GPSLAT	GPSLON	GPSALT	GPSSPE	HUM	TEMP	PRES	CO	CO2	NH2	NH3	TVOC	COMX	COMY	COMZ	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ	BAT	VEL	ANGA	ANGB
0	59.6777	28.8569	64.4828	98.4679	20.3887	-6.0287	101326.0	50.0656	28.8442	9.1724	33.0959	93.335	74.81	322.13	254.77	76.1198	51.0253	0.0764	3.66	215.91	162.85	1	25	79.513163	-15.20599
1	60.6345	49.2707	43.0179	32.8985	66.6342	4.874	101192.678	8.5918	38.8011	34.4955	67.8002	35.3356	305.26	89.74	62.48	82.6295	94.3439	28.2829	276.94	192.43	219.29	1	912	11.646204	-14.30234
2	92.7509	16.0803	71.6626	28.4293	82.8195	-6.7323	101059.356	1.6354	95.1444	20.4011	16.7362	73.0197	122.59	175.78	54.76	58.0747	84.958	48.3408	80.47	224.92	166.26	0	384	-33.096863	76.953506
3	26.245	55.1191	41.7507	3.633	46.1193	-6.2913	100926.034	89.9665	27.2019	67.1829	8.0652	52.5078	230.26	141.52	119.32	27.8478	8.6609	76.5521	143.87	88.17	5.12	1	327	-63.148673	-139.653925
4	64.5786	13.5018	9.5134	96.4283	54.6143	4.9185	100792.712	31.8188	13.2779	98.535	4.1526	72.3622	239.26	235.32	301.18	39.9743	79.9048	69.0982	122.15	6.55	129.3	1	733	-52.431705	-78.11812
5	43.3853	45.1476	13.3732	90.9163	90.1195	7.2502	100659.39	15.714	94.1162	69.0262	58.8187	31.6274	304.1	92.22	339.72	96.8587	7.0418	63.2344	207.62	43.91	308.58	1	1617	-87.733565	-84.976145
6	81.0583	2.407	16.9839	94.1339	26.3601	-36.6317	100526.068	50.4485	10.1627	96.5484	72.3232	68.9011	317.42	228.12	329.85	94.2305	73.4779	63.9712	314.96	220.35	168.4	0	748	137.327865	-22.891831
7	41.6631	67.972	47.9832	91.5111	97.378	-15.5885	100392.746	50.2837	66.6217	70.8102	88.2559	60.7561	193.46	184.01	217.09	16.9187	26.8748	51.9245	265.58	48.52	332.52	1	931	-72.417113	-50.151919
8	0.0881	79.5374	60.426	30.0556	71.2726	2.9796	100259.424	87.5357	81.5306	57.8577	3.9043	81.621	133.84	159.74	222.12	14.608	48.2962	19.658	82.55	50.72	333.19	1	1614	55.131622	-0.124502
9	86.6697	50.0774	35.8747	36.7743	93.22	-9.1927	100126.102	49.9187	66.1832	8.309	35.0568	63.8706	251.92	21.17	187.73	40.4028	43.8322	45.1528	347.26	265.17	336.73	0	1747	1.692655	81.873741
10	16.5957	97.7165	4.1692	27.6743	54.7503	27.6129	99992.78	78.2278	61.0855	20.082	49.719	6.4778	182.93	63.15	43.83	63.983	68.2424	80.9747	81.91	335.92	284.73	0	1603	52.268083	71.142109
11	71.0421	12.6244	10.828	98.8212	29.871	-4.9702	99859.458	73.5093	4.3966	4.8935	98.9717	55.7961	277.89	143.42	209.8	77.0734	62.253	66.8377	80.71	222.67	89.45	0	842	-52.070776	-134.639039
12	81.323	65.1801	49.849	58.9702	42.4935	-14.3208	99726.136	46.9969	87.3447	2.2002	80.7125	82.6058	206.95	126.52	101.37	70.143	62.3332	29.6463	307.46	86.8	224.5	1	1631	-66.724297	103.001234
13	18.4492	17.309	0.4541	63.2368	17.8497	20.7553	99592.814	91.7549	25.2962	43.2393	55.6002	98.8816	135.12	296.09	223.96	41.1761	4.4384	60.8831	18.62	29.39	70.03	1	135	-148.046902	-124.324065
14	18.7146	9.3638	23.374	47.2579	93.1505	25.2513	99459.492	18.8804	65.1972	13.7689	66.2499	40.438	336.26	245.6	101.45	88.8953	30.5543	31.508	121.16	134.88	245.79	0	697	-16.917791	87.388828
15	63.6991	18.6484	14.087	23.1774	47.5572	-36.8848	99326.17	71.4033	87.928	81.2759	36.6406	59.2889	78.63	182.87	257.9	49.1565	88.2981	27.1815	263.37	209.91	321.54	0	421	146.837482	-32.510338
16	66.5747	97.7049	78.8278	76.7048	10.728	22.4864	99192.848	25.9686	36.8466	91.4202	90.0151	42.9595	299.88	149.53	83.63	31.058	18.9424	11.3219	345.9	336.62	351.4	1	289	34.967018	-119.226945
17	84.7118	22.2948	72.6582	10.8388	20.2982	-28.7617	99059.526	77.8813	76.1146	45.2945	3.3849	70.9971	247.86	154.21	64.33	19.6757	64.2085	89.8357	69.23	109.32	278.94	1	1125	-81.596709	145.160065
18	29.1197	32.9092	68.1791	38.5396	33.5235	15.6702	98926.204	59.8929	22.9353	74.371	88.4011	45.1334	303.11	215.92	11.78	4.1465	59.5105	70.8816	137.38	91.77	78.31	1	226	80.48034	43.181529
19	38.5051	23.7821	13.1963	36.4646	10.1886	22.6172	98792.882	88.2287	18.3322	44.8428	8.5118	13.1535	143.66	63.99	83.9	76.5663	9.8287	62.7958	142.1	108.44	279.08	0	1012	114.373943	70.611332
20	15.3193	57.3412	51.5572	71.5856	80.7726	1.8069	98659.56	93.9192	84.7947	91.1218	33.2282	43.9974	64.07	103.05	250.66	51.2972	59.6905	13.1207	46.2	75.18	202.42	0	875	82.838698	81.852837
21	94.308	5.0815	77.6478	58.8477	21.0785	29.8935	98526.238	47.2196	26.1868	85.4456	69.1876	63.5993	302.07	302.02	237.14	48.5921	28.5514	40.9174	145.23	195.0	4.43	1	1465	170.423716	69.886066
22	1.208	19.0129	12.8824	52.9367	23.3611	19.9254	98392.916	70.9204	90.1593	37.4893	28.978	66.6688	126.69	275.57	260.5	7.239	27.7407	43.2702	348.5	219.67	92.34	0	39	37.019884	43.098141
23	43.184	45.8485	87.8723	69.9701	5.8857	16.4364	98259.594	34.2827	35.9568	62.9628	17.9919	32.1672	304.12	196.06	292.91	44.1145	42.9899	68.7737	341.3	247.8	314.37	1	602	1.655961	13.837589
24	25.9334	14.6467	71.2326	15.9833	91.6843	-19.5414	98126.272	43.2834	25.8435	67.9277	86.6531	34.7219	235.88	237.96	21.62	78.3017	81.7047	34.112	89.16	320.15	319.19	1	79	30.02979	-113.452553
25	0.1642	88.6006	96.7666	65.1172	77.7093	11.0985	97992.95	88.8214	55.8548	31.9989	28.3238	58.326	109.13	155.43	332.62	59.2289	58.3465	13.8303	262.18	349.62	29.49	1	897	-32.199849	157.421979
26	32.4913	41.1996	70.9758	83.1573	25.1599	3.9013	97859.628	77.8858	0.9633	84.2667	96.6402	41.7397	122.57	230.01	1.14	12.995	92.0986	14.8466	160.06	257.37	203.47	1	687	151.220125	75.161376
27	57.9484	49.835	81.8438	83.9592	50.7686	-6.0006	97726.306	55.3336	42.3293	50.59	47.3	4.6946	149.22	26.27	13.64	94.4061	34.5491	87.5131	226.07	137.77	27.38	0	11	-12.490184	32.405099
28	1.4229	85.0997	63.2644	26.2624	85.078	-38.0363	97592.984	64.1074	96.5441	72.7362	71.9888	76.7269	245.69	312.58	228.09	66.04	31.4009	32.4704	353.84	258.13	20.29	0	1523	42.201987	88.113956
29	24.0916	35.0931	16.9351	60.5446	78.6665	-15.1094	97459.662	60.8278	13.9934	70.5694	20.6756	71.6229	188.45	311.43	282.92	97.5859	0.1444	7.397	260.79	194.46	317.78	0	650	11.422697	48.582428
30	20.1724	75.0315	30.5522	75.4153	66.066	11.3078	97326.34	39.007	15.1248	71.3611	0.6386	47.3884	171.65	108.28	31.34	18.098	94.3055	70.6452	96.39	24.02	285.52	1	1527	121.316673	-105.850618
31	70.0034	36.4299	88.4411	85.6936	43.6839	1.6629	97193.018	44.5206	36.848	21.64	5.9718	19.8587	84.98	298.79	65.1	45.52	2.1934	22.2066	241.32	250.29	37.79	1	851	-31.888929	-119.50477
32	76.8248	9.0107	34.7535	43.0398	79.249	-13.788	97059.696	45.4883	91.481	87.7054	57.4721	92.8116	61.84	209.49	52.29	0.996	14.6418	28.8294	156.84	174.44	226.68	1	152	-167.215668	-5.680049
33	48.1983	7.9793	31.635	31.6866	5.1849	-13.0092	96926.374	42.7582	71.1872	69.4041	29.9511	91.4408	178.57	287.83	142.49	3.9109	64.9385	27.6307	270.24	100.42	85.04	0	1150	128.567664	-97.571681
34	23.1876	66.0188	90.2455	66.2358	29.7432	-19.7996	96793.052	95.9577	42.7937	16.5917	42.9913	95.6203	171.22	292.81	294.77	15.5646	81.9195	71.1408	121.8	90.87	260.86	1	1589	-28.276812	10.55812
35	26.8693	61.7003	49.3919	73.725	84.3322	-8.5778	96659.73	96.5134	13.9667	29.0705	41.4291	36.2756	233.45	221.18	4.73	62.8696	56.8268	87.146	359.8	277.93	178.1	0	723	24.602273	-133.326703
36	63.7646	65.1291	6.5103	65.2029	24.5514	11.2189	96526.408	31.2156	2.0947	39.1131	50.9931	71.7007	2.71	284.14	178.11	42.2977	26.309	91.0891	221.17	166.87	239.34	1	29	-149.471491	-135.111343
37	5.3201	42.7055	38.2327	31.2859	30.5394	27.5083	96393.086	60.0479	37.6333	58.4444	79.4366	21.3677	326.17	185.59	213.68	5.7614	28.1929	54.4351	318.74	94.12	51.83	1	1236	142.295129	19.581713
38	61.4728	0.6225	28.4462	72.7287	17.8747	-27.3135	96259.764	23.4413	95.919	78.1755	92.3033	95.6564	316.92	120.82	149.9	69.8643	95.269	73.9265	168.63	305.8	20.64	0	1298	-166.015884	-11.265838
39	67.2693	50.3369	60.6959	70.8466	35.9471	-7.5523	96126.442	41.4437	94.6503	16.0768	52.4292	9.2228	101.92	325.03	260.62	70.1901	66.0792	79.1407	356.01	342.81	203.8	1	485	-164.874463	56.375862
40	25.3494	59.1097	13.1043	1.9773	21.2457	11.9054	95993.12	44.4247	54.8136	90.9737	20.5858	87.3598	72.73	172.26	22.07	70.0165	16.5522	0.6855	61.52	272.54	145.2	0	1603	-146.875217	-81.184461
41	1.2117	73.2283	39.2891	67.8952	20.7505	-11.089	95859.798	77.5861	70.0535	52.6449	47.4113	92.0277	239.89	210.58	329.65	70.5489	41.2868	64.8715	67.42	7.12	51.9	0	443	131.677436	93.53618
42	16.882	52.1013	17.2253	44.2598	77.4364	-18.3913	95726.476	43.3553	20.2373	18.2607	95.1259	22.6628	345.11	210.03	134.76	63.228	98.3472	6.2029	126.65	275.05	325.94	0	787	-176.739066	-175.331555
43	5.7485	72.4253	31.3407	90.7776	90.0234	-6.8906	95593.154	90.5823	73.8894	94.0121	91.7432	93.6615	165.92	157.33	53.26	45.015	69.5177	2.9026	277.14	113.36	306.16	1	456	-46.071511	-169.992836
44	13.8549	78.1306	33.0761	88.2548	97.0312	-37.5022	95459.832	69.0747	92.2859	48.9797	97.1898	15.5419	133.96	280.53	198.4	20.0428	82.7557	82.9336	33.12	299.89	257.18	1	50	-25.19584	60.618112
45	23.8792	42.1307	43.8857	74.1765	45.0034	22.0894	95326.51	85.8422	97.7116	82.6458	37.5287	38.9836	355.09	175.04	354.93	39.0749	34.487	94.9745	357.26	178.39	298.03	0	475	-14.600367	-114.112477
46	18.2357	18.4391	50.1178	56.6412	80.1196	-8.2491	95193.188	6.2903	34.0991	41.1295	82.1021	67.4116	63.65	213.59	207.73	57.4311	66.0348	57.5106	159.5	161.68	346.52	1	695	96.893135	-163.135852
47	95.4587	5.0416	70.4732	91.5992	54.6953	15.4895	95059.866	5.6131	48.2691	71.9345	92.662	42.7908	108.44	106.79	113.1	83.7978	53.8218	17.0048	19.8	194.45	287.81	1	63	-13.656949	-165.277185
48	27.4951	3.6403	84.4628	77.5177	7.2094	-39.7033	94926.544	90.4394	37.4913	95.525	89.7713	38.8047	300.31	142.2	76.14	26.9144	37.8939	83.2744	165.55	339.87	335.47	1	553	135.603956	-60.161474
49	42.0687	17.3551	58.0541	3.4988	13.4361	28.6165	94793.222	0.8844	16.7319	2.39	27.2139	68.0085	300.14	33.59	281.05	88.7127	25.3985	55.0278	124.33	36.31	207.55	0	1045	160.126487	-25.331512
50	50.8837	5.4865	54.9084	98.816	30.1701	-15.2741	94659.9	42.7583	41.9032	93.9104	56.6729	24.7872	66.1	112.13	239.79	26.8386	52.2276	60.7286	210.59	342.0	74.74	0	1121	38.342494	144.941866
51	65.8277	97.8637	15.8433	46.1081	54.011	2.017	94526.578	57.2409	8.2318	81.4019	8.6392	14.2215	12.25	329.69	293.14	39.0412	34.2834	93.5485	280.77	94.15	149.68	0	726	-98.039029	-68.308349
52	65.7078	59.651	72.0389	75.0299	50.4413	-38.9161	94393.256	51.3397	82.1537	17.416	25.2546	37.4478	193.94	163.76	0.69	53.5333	91.5812	77.2799	351.21	269.27	317.6	0	547	-157.070617	81.254819
53	60.1396	17.6705	64.9425	88.4676	91.6793	-10.6695	94259.934	11.9974	79.6998	59.2657	80.6892	79.5972	251.69	163.42	30.52	40.3214	64.9987	62.8637	62.33	104.61	73.34	1	1118	13.075565	-22.324988
54	5.4482	35.7081	85.384	44.5089	20.6131	-33.9313	94126.612	1.8611	40.9524	71.842	7.2122	12.1057	329.76	60.53	315.53	96.2532	63.1232	39.9386	272.93	184.15	100.34	0	685	-101.913491	-0.131538
55	47.7787	16.2576	33.005	4.8434	71.6089	-29.0052	93993.29	17.6972	55.7418	84.5434	44.5828	52.8794	14.28	233.39	203.73	81.2524	92.006	26.1081	333.22	28.51	205.68	1	975	109.282672	-49.038378
56	84.7049	58.0298	5.1282	10.3419	35.8739	-3.1417	93859.968	44.2198	50.1581	32.4732	80.6652	42.5523	67.97	151.26	7.98	68.2967	17.2523	85.4226	1.02	58.66	289.23	1	853	-0.664914	-149.499858
57	31.906	71.0448	18.8019	39.6804	53.4486	23.835	93726.646	63.65	96.9978	32.9743	29.1973	3.3075	351.62	303.13	103.16	30.2468	62.2931	65.095	154.51	301.76	275.06	0	191	-80.197785	-161.186596
58	72.6039	87.0395	70.7392	17.9883	89.3198	-0.118	93593.324	36.3362	50.5874	4.7574	21.9464	7.5422	106.9	227.81	307.34	89.0516	23.1763	51.899	332.65	182.46	292.31	1	895	88.462567	175.620735
59	55.4104	10.3214	82.0049	4.3991	32.4379	-11.7122	93460.002	77.4822	8.0909	14.2259	20.99	52.7518	307.33	297.14	135.95	51.9206	94.1454	13.9634	271.64	108.34	300.54	0	1591	-28.376152	-179.365438
