[['Acc x', 'Acc y', 'Acc z', 'Apogeo', 'Apogeo 2', 'Tiempo', 'Apote 2', 'Apote 1', 'Altura'], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 
[-0.25, -0.43, 9.53, 9.54, 0.0, 4.0, 0.0, 0.0, 0.0], 
[-0.27, -0.45, 9.51, 9.52, 0.0, 4.0, 0.0, 0.0, 0.0], 
[-0.25, -0.43, 9.51, 9.52, 0.0, 4.0, 0.0, 0.0, 0.0], 
[-0.28, -0.45, 9.53, 9.54, 0.0, 4.0, 0.0, 0.0, 0.09], 
[-0.26, -0.44, 9.5, 9.51, 0.0, 4.0, 0.0, 0.0, 0.09], 
[-0.26, -0.47, 9.51, 9.53, 0.08, 4.0, 0.0, 0.0, 0.09], 
[-0.29, -0.46, 9.52, 9.54, 0.08, 4.0, 0.0, 0.0, 0.09], 
[-0.27, -0.45, 9.5, 9.51, 0.08, 4.0, 0.0, 0.0, 0.0], 
[-0.25, -0.43, 9.53, 9.54, -0.07, 6.0, 0.0, 0.0, 0.0], 
[-0.27, -0.46, 9.5, 9.51, -0.07, 6.0, 0.0, 0.0, 0.0], 
[-0.27, -0.45, 9.5, 9.51, -0.07, 6.0, 0.0, 0.0, 0.0], 
[-0.21, -0.43, 9.54, 9.55, 0.0, 6.0, 0.0, 0.0, 0.0], 
[-0.23, -0.42, 9.53, 9.54, 0.0, 6.0, 0.0, 0.0, 0.0], 
[-0.25, -0.42, 9.49, 9.5, 0.0, 6.0, 0.0, 0.0, 0.0], 
[-0.22, -0.44, 9.45, 9.46, 0.0, 6.0, 0.0, 0.0, 0.0], 
[-0.26, -0.44, 9.51, 9.52, 0.0, 6.0, 0.0, 0.0, 0.28], 
[-0.25, -0.47, 9.5, 9.51, 0.0, 7.0, 0.0, 0.0, 0.28], 
[-0.25, -0.45, 9.5, 9.51, 0.24, 7.0, 0.0, 0.0, 0.28], 
[-0.26, -0.45, 9.51, 9.52, 0.24, 7.0, 0.0, 0.0, 0.28], 
[-0.11, -0.24, 9.46, 9.46, 0.24, 7.0, 0.0, 0.0, -0.09], 
[-0.29, -0.45, 9.5, 9.52, -0.28, 7.0, 0.0, 0.0, -0.09], 
[-0.29, -0.51, 9.52, 9.54, -0.28, 7.0, 0.0, 0.0, -0.09], 
[-0.26, -0.47, 9.52, 9.54, -0.28, 7.0, 0.0, 0.0, -0.09], 
[-0.27, -0.47, 9.53, 9.55, 0.01, 7.0, 0.0, 0.0, -0.09], 
