{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: 0.00 , Acc y: 0.00 , Acc z: 0.00 , Apogeo: 0.00 , Apogeo2: 0.00 , Tiempo seg:  , 0 , apote2: 0.00 , apote1: 1.00 , Altura: 0.00},
{ Acc x: -0.25 , Acc y: -0.43 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.00 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -0.27 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -0.25 , Acc y: -0.43 , Acc z: 9.51 , Apogeo: 9.52 , Apogeo2: 0.00 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -0.28 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.00 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.26 , Acc y: -0.44 , Acc z: 9.50 , Apogeo: 9.51 , Apogeo2: 0.00 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.26 , Acc y: -0.47 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: 0.08 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.29 , Acc y: -0.46 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: 0.08 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.27 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.51 , Apogeo2: 0.08 , Tiempo seg:  , 4 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
